;winner
EUW1_5705411575;blue
EUW1_5707722198;red
EUW1_5707738363;blue
EUW1_5707806160;red
EUW1_5708213484;red
EUW1_5709102777;red
EUW1_5710073544;blue
EUW1_5716238056;blue
EUW1_5716289630;red
EUW1_5716504242;blue
EUW1_5716652393;blue
EUW1_5716872020;red
EUW1_5717468773;blue
EUW1_5717477109;blue
EUW1_5717612763;red
EUW1_5717624468;blue
EUW1_5717745079;blue
EUW1_5717772167;red
EUW1_5717839248;blue
EUW1_5717916852;red
EUW1_5718439477;red
EUW1_5718536489;red
EUW1_5718579600;red
EUW1_5718773107;blue
EUW1_5718773564;blue
EUW1_5718774737;red
EUW1_5718786958;blue
EUW1_5718826501;red
EUW1_5718839038;red
EUW1_5718921912;blue
EUW1_5719358890;red
EUW1_5719400134;blue
EUW1_5719414666;red
EUW1_5719445628;blue
EUW1_5719508202;blue
EUW1_5719526512;blue
EUW1_5719527418;red
EUW1_5719712257;red
EUW1_5719730168;blue
EUW1_5719932234;red
EUW1_5719984963;red
EUW1_5719997699;blue
EUW1_5720026293;red
EUW1_5720179991;blue
EUW1_5720284152;red
EUW1_5720325174;red
EUW1_5720330250;red
EUW1_5720374612;blue
EUW1_5720387878;red
EUW1_5720420076;blue
EUW1_5720441773;red
EUW1_5720502576;red
EUW1_5720504306;red
EUW1_5720515992;red
EUW1_5720638358;blue
EUW1_5721009143;blue
EUW1_5721016723;blue
EUW1_5721052373;red
EUW1_5721106682;blue
EUW1_5721138912;red
EUW1_5721162743;blue
EUW1_5721194645;red
EUW1_5721209984;blue
EUW1_5721400673;blue
EUW1_5721470137;red
EUW1_5721545221;red
EUW1_5721602022;blue
EUW1_5721626552;blue
EUW1_5721745999;blue
EUW1_5721818442;blue
EUW1_5722159129;blue
EUW1_5722207834;red
EUW1_5722225178;blue
EUW1_5722274542;red
EUW1_5722277631;red
EUW1_5722284026;blue
EUW1_5722412419;blue
EUW1_5722507486;blue
EUW1_5722583965;red
EUW1_5722622083;red
EUW1_5722625340;red
EUW1_5722655731;blue
EUW1_5722671913;red
EUW1_5722701356;blue
EUW1_5722770415;blue
EUW1_5722928631;blue
EUW1_5723014251;blue
EUW1_5723287852;red
EUW1_5723297590;blue
EUW1_5723397814;blue
EUW1_5723613656;blue
EUW1_5723619696;red
EUW1_5723885905;red
EUW1_5723887851;red
EUW1_5723891984;blue
EUW1_5723909924;blue
EUW1_5723935936;red
EUW1_5723983930;red
EUW1_5724007340;red
EUW1_5724026048;red
EUW1_5724028646;red
EUW1_5724044390;red
EUW1_5724060655;blue
EUW1_5724066689;blue
EUW1_5724071106;blue
EUW1_5724092756;red
EUW1_5724095126;blue
EUW1_5724100790;red
EUW1_5724118249;red
EUW1_5724139214;blue
EUW1_5724145137;blue
EUW1_5724202047;blue
EUW1_5724280463;red
EUW1_5724378285;red
EUW1_5724449871;blue
EUW1_5724529869;blue
EUW1_5724538007;blue
EUW1_5724545738;red
EUW1_5724600664;blue
EUW1_5724628665;red
EUW1_5724633721;red
EUW1_5724654454;red
EUW1_5724673938;blue
EUW1_5724874233;red
EUW1_5724908179;blue
EUW1_5724974902;red
EUW1_5725106607;blue
EUW1_5725248904;red
EUW1_5725319512;red
EUW1_5725411911;red
EUW1_5725417946;blue
EUW1_5725669230;red
EUW1_5725831752;blue
EUW1_5725866401;blue
EUW1_5725911013;blue
EUW1_5726106155;red
EUW1_5726171808;blue
EUW1_5726172583;red
EUW1_5726207853;blue
EUW1_5726210590;blue
EUW1_5726214826;blue
EUW1_5726247732;blue
EUW1_5726292028;red
EUW1_5726297961;blue
EUW1_5726495157;red
EUW1_5726570694;blue
EUW1_5726576070;red
EUW1_5726577295;red
EUW1_5726710420;blue
EUW1_5726716265;red
EUW1_5726733982;red
EUW1_5726739188;red
EUW1_5726811260;red
EUW1_5726877831;blue
EUW1_5726902067;blue
EUW1_5726906415;blue
EUW1_5726965522;blue
EUW1_5727053649;blue
EUW1_5727098035;red
EUW1_5727110193;red
EUW1_5727128065;blue
EUW1_5727166025;red
EUW1_5727174799;red
EUW1_5727271669;red
EUW1_5727346234;red
EUW1_5727382209;blue
EUW1_5727398923;red
EUW1_5727455716;blue
EUW1_5727467817;blue
EUW1_5727556846;red
EUW1_5727584458;red
EUW1_5727694863;red
EUW1_5727724560;blue
EUW1_5727787772;red
EUW1_5727854947;blue
EUW1_5727859538;red
EUW1_5727902126;red
EUW1_5727906362;blue
